Name	Type
ABCB1	0
ABL1	0
ADCY1	0
AHNAK2	0
AKAP9	0
AMPH	0
ANAPC1	0
ANKRD12	0
APC	0
ARHGAP32	0
ARHGAP35	0
ARID1A	0
ARID2	0
ASPM	0
ATM	0
ATR	0
ATRX	0
BAP1	0
BCLAF1	0
BCOR	0
BRAF	0
BRCA2	0
CAD	0
CAST	0
CDK12	0
CDKN2A	0
CFH	0
CHD4	0
CHD8	0
CIC	0
CLTC	0
COL18A1	0
DICER1	0
DMD	0
DOCK2	0
EGFR	0
EP300	0
FANCA	0
FBN2	0
FGFR2	0
FLT3	0
FN1	0
GNAS	0
GPHN	0
HGF	0
HUWE1	0
IDH1	0
JAK2	0
KALRN	0
KDM5C	0
KIAA1109	0
LEPR	0
LIFR	0
LRRK2	0
MAP3K4	0
MAST2	0
MDC1	0
MECOM	0
MED12	0
MED13	0
MLLT4	0
MTOR	0
MYH9	0
NAV3	0
NCOA3	0
NCOR1	0
NCOR2	0
NEB	0
NF1	0
NLRP3	0
NOTCH1	0
NRAS	0
NSD1	0
NUP214	0
PBRM1	0
PDGFRA	0
PIK3CA	0
PLEC	0
POTEF	0
PRPF8	0
PTEN	0
RAC1	0
RANBP2	0
RNF213	0
SETD2	0
SF3B1	0
SMARCA4	0
SPEN	0
SYNE1	0
TAF1	0
TET2	0
TP53	0
TP53BP1	0
TPR	0
TRIO	0
TSC2	0
UHRF1BP1L	0
VHL	0
WHSC1	0
WRN	0
ZFHX3	0
ZNF300	0
ZNF91	0
ADAR	1
AIM2	1
CASP1	1
CASP10	1
CASP12	1
CASP2	1
CASP3	1
CASP4	1
CASP5	1
CASP6	1
CASP7	1
CASP8	1
DFNA5	1
FADD	1
GSDMD	1
MEFV	1
MLKL	1
NLRC4	1
NLRP1	1
NLRP3	1
NLRP9	1
PYCARD	1
RIPK1	1
RIPK3	1
TNF	1
TNFRSF1A	1
ZBP1	1
